"","Lot Frontage","Lot Area","Year Built","Year Remod/Add","Mas Vnr Area","BsmtFin SF 1","BsmtFin SF 2","Bsmt Unf SF","Total Bsmt SF","1st Flr SF","2nd Flr SF","Low Qual Fin SF","Gr Liv Area","Bsmt Full Bath","Bsmt Half Bath","Full Bath","Half Bath","Bedroom AbvGr","Kitchen AbvGr","TotRms AbvGrd","Fireplaces","Garage Yr Blt","Garage Cars","Garage Area","Wood Deck SF","Open Porch SF","Enclosed Porch","3Ssn Porch","Screen Porch","Pool Area","Misc Val","Mo Sold","Yr Sold","Longitude","Latitude","MS SubClass","MS Zoning","Street","Lot Shape","Land Contour","Utilities","Lot Config","Land Slope","Neighborhood","Condition 1","Condition 2","Bldg Type","House Style","Overall Qual","Overall Cond","Roof Style","Roof Matl","Exterior 1st","Exterior 2nd","Mas Vnr Type","Exter Qual","Exter Cond","Foundation","Bsmt Qual","Bsmt Cond","Bsmt Exposure","BsmtFin Type 1","BsmtFin Type 2","Heating","Heating QC","Central Air","Electrical","Kitchen Qual","Functional","Fireplace Qu","Garage Type","Garage Finish","Garage Qual","Garage Cond","Paved Drive","Sale Type","Sale Condition","SalePrice"
"1",141,31770,1960,1960,112,639,0,441,1080,1656,0,0,1656,1,0,1,0,3,1,7,2,1960,2,528,210,62,0,0,0,0,0,5,2010,-93.619754,42.054035,"020","RL","Pave","IR1","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story","6","5","Hip","CompShg","BrkFace","Plywood","Stone","TA","TA","CBlock","TA","Gd","Gd","BLQ","Unf","GasA","Fa","Y","SBrkr","TA","Typ","Gd","Attchd","Fin","TA","TA","P","WD ","Normal","215000"
"2",68,11027,1954,1954,28,468,539,171,1178,1293,0,0,1293,1,0,2,0,2,1,5,0,1954,2,452,280,0,0,0,0,0,0,5,2006,-93.618462,42.053406,"020","RL","Pave","IR1","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story","6","5","Hip","CompShg","Wd Sdng","Wd Sdng","Stone","TA","TA","CBlock","TA","TA","No","BLQ","Rec","GasA","Gd","Y","SBrkr","TA","Typ","None","Attchd","RFn","TA","TA","Y","WD ","Normal","149900"
"3",85,10533,1956,1956,244,773,0,235,1008,1024,0,0,1024,1,0,1,0,2,1,5,2,1956,1,313,0,0,0,0,280,0,0,8,2006,-93.618182,42.053327,"020","RL","Pave","IR1","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story","6","6","Hip","CompShg","VinylSd","VinylSd","BrkFace","TA","Gd","CBlock","TA","TA","No","Rec","Unf","GasA","TA","Y","SBrkr","Gd","Typ","TA","Attchd","Unf","TA","TA","Y","WD ","Normal","157500"
"4",74,13008,1956,1956,0,564,0,318,882,882,0,0,882,0,0,1,0,2,1,5,0,1956,1,502,0,0,0,0,0,0,0,10,2009,-93.6188955,42.0530363,"020","RL","Pave","IR1","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story","6","5","Gable","CompShg","MetalSd","MetalSd","None","TA","TA","CBlock","Fa","Fa","No","Rec","Unf","GasA","TA","Y","SBrkr","TA","Typ","None","Attchd","Unf","TA","TA","Y","WD ","Normal","124500"
"5",68,11765,1957,1957,302,1127,0,490,1617,1797,0,0,1797,0,0,1,1,3,1,7,1,1957,3,963,0,0,0,0,0,0,0,6,2006,-93.6192621,42.0531078,"020","RL","Pave","IR1","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story","5","5","Gable","CompShg","Wd Sdng","Wd Sdng","Stone","TA","TA","CBlock","TA","TA","Mn","Rec","Unf","GasA","Fa","Y","SBrkr","TA","Typ","TA","Attchd","Unf","TA","TA","Y","WD ","Normal","169000"
"6",68,39384,1957,1957,902,1110,0,595,1705,1390,0,0,1390,1,0,1,1,1,1,4,2,1957,2,550,0,189,0,0,0,0,0,10,2006,-93.616439,42.052519,"020","RL","Pave","IR1","Low","AllPub","CulDSac","Sev","NAmes","Norm","Norm","1Fam","1Story","6","6","Gable","CompShg","Wd Sdng","Wd Sdng","Stone","TA","TA","CBlock","Gd","TA","Gd","ALQ","Unf","GasA","Ex","Y","SBrkr","Ex","Min1","Gd","Attchd","Unf","TA","TA","Y","WD ","Abnorml","252000"
"7",80,11622,1961,1961,0,468,144,270,882,896,0,0,896,0,0,1,0,2,1,5,0,1961,1,730,140,0,0,0,120,0,0,6,2010,-93.619756,42.053014,"020","RH","Pave","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Feedr","Norm","1Fam","1Story","5","6","Gable","CompShg","VinylSd","VinylSd","None","TA","TA","CBlock","TA","TA","No","Rec","LwQ","GasA","TA","Y","SBrkr","TA","Typ","None","Attchd","Unf","TA","TA","Y","WD ","Normal","105000"
"9",87,11029,1958,2002,0,528,411,245,1184,1414,0,0,1414,1,0,1,0,3,1,6,1,1990,2,601,0,51,0,0,190,0,0,5,2008,-93.6188286,42.0525525,"020","RL","Pave","IR1","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story","6","8","Hip","CompShg","MetalSd","MetalSd","None","Ex","TA","CBlock","Gd","TA","No","ALQ","BLQ","GasA","Ex","Y","SBrkr","TA","Min1","TA","Attchd","Unf","TA","TA","Y","WD ","Normal","176500"
"10",85,10200,1974,1974,440,844,0,590,1434,1434,0,0,1434,1,0,2,0,4,1,7,1,1974,2,528,80,21,0,0,0,0,0,6,2009,-93.619562,42.05139,"020","RL","Pave","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story","6","5","Hip","CompShg","Plywood","Plywood","BrkFace","TA","TA","CBlock","TA","TA","No","LwQ","Unf","GasA","TA","Y","SBrkr","TA","Typ","Gd","Attchd","RFn","TA","TA","Y","WD ","Normal","157000"
"11",85,10667,1971,1971,302,838,0,749,1587,1587,0,0,1587,0,0,2,0,3,1,7,1,1971,2,525,0,44,0,0,0,0,0,3,2007,-93.618504,42.051297,"020","RL","Pave","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story","6","6","Gable","CompShg","MetalSd","MetalSd","BrkFace","TA","TA","CBlock","TA","TA","No","BLQ","Unf","GasA","TA","Y","SBrkr","TA","Typ","Gd","Attchd","Unf","TA","TA","Y","WD ","Normal","167300"
